,Player,Nation,Pos,Age
116,Leny Yoro,France,Défenseur,17
117,Leonardo César Jardim,Brésil,Gardien,28
118,Mohamed Lamine Bayo,Guinée,Milieu Offensif,24
119,Akim Zedadka,Algérie,Latéral,27
120,Carlos Baleba,Cameroun,Milieu Défensif,19
121,Yusuf Yaz?c?,Turquie,Milieu Défensif,26
122,Alan Virginius,France,Attaquant,20
123,Jonas Martin,France,Milieu Défensif,33
124,Simon Ramet,France,Défenseur,20
125,Benoît Costil,France,Gardien,35
126,Ichem Ferrah,France,Milieu Défensif,17
127,Adam Jakubech,Slovaquie,Gardien,26
128,Isaac Lihadji,France,Attaquant,21
