,Player,Year,Club
1169,Xeka,2016-2017,SC Braga
1170,Xeka,2017,LOSC Lille
1171,Xeka,2017-2022,LOSC Lille
1172,Xeka,2017-2018,Dijon FCO
1173,Xeka,2022-,Stade rennais FC
1174,Xeka,2014,Portugal -20 ans
1175,Do?an Alemdar,2013-2019,Kayserispor
1176,Do?an Alemdar,2019-2021,Kayserispor
1177,Do?an Alemdar,2021-,Stade rennais FC
1178,Do?an Alemdar,2023-,ESTAC Troyes
1179,Do?an Alemdar,2019,Turquie -17 ans
1180,Do?an Alemdar,2019-2020,Turquie -18 ans
1181,Do?an Alemdar,2020,Turquie -19 ans
1182,Do?an Alemdar,2021-,Turquie espoirs
1183,Do?an Alemdar,2022-,Turquie
1184,Gaëtan Laborde,2013-2018,Girondins de Bordeaux
1185,Gaëtan Laborde,2013-2014,Red Star FC
1186,Gaëtan Laborde,2014-2015,Stade brestois 29
1187,Gaëtan Laborde,2016,Clermont Foot 63
1188,Gaëtan Laborde,2018-2021,Montpellier HSC
1189,Gaëtan Laborde,2021-2022,Stade rennais FC
1190,Gaëtan Laborde,2022-,OGC Nice
1191,Gaëtan Laborde,2011,France -17 ans
1192,Gaëtan Laborde,2011,France -18 ans
1193,Gaëtan Laborde,2013,France -19 ans
1194,Gaëtan Laborde,2013-2014,France -20 ans
1195,Kamaldeen Sulemana,2020-2021,FC Nordsjælland
1196,Kamaldeen Sulemana,2021-2023,Stade rennais FC
1197,Kamaldeen Sulemana,2023-,Southampton FC
1198,Kamaldeen Sulemana,2020-,Ghana
1199,Lorenz Assignon,2015-2020,Stade rennais FC
1200,Lorenz Assignon,2020-,Stade rennais FC
1201,Lorenz Assignon,2021,SC Bastia
1202,Jeanöel Belocian,2013-2020,
1203,Jeanöel Belocian,2018-2020,Pôle espoirs Guadeloupe
1204,Jeanöel Belocian,2020-2021,Stade rennais FC
1205,Jeanöel Belocian,2021-,Stade rennais FC
1206,Jeanöel Belocian,2021-2022,France -17 ans
1207,Jeanöel Belocian,2022-,France -18 ans
1208,Ibrahim Salah,2012,KV Woluwe-Zaventem
1209,Ibrahim Salah,2010-2013,Union Saint-Gilloise
1210,Ibrahim Salah,2013-2021,Beerschot VA
1211,Ibrahim Salah,2021-2022,KAA La Gantoise
1212,Ibrahim Salah,2022-2023,KAA La Gantoise
1213,Ibrahim Salah,2023-,Stade rennais FC
1214,Ibrahim Salah,2022-,Maroc olympique
1215,Loïc Bade,2014-2015,AC Boulogne-Billancourt
1216,Loïc Bade,2015-2017,Paris FC
1217,Loïc Bade,2017-2019,Le Havre AC
1218,Loïc Bade,2019-2020,Le Havre AC
1219,Loïc Bade,2020-2021,RC Lens
1220,Loïc Bade,2021-2023,Stade rennais FC
1221,Loïc Bade,2022,Nottingham Forest
1222,Loïc Bade,2023,Séville FC
1223,Loïc Bade,2023-,Séville FC
1224,Loïc Bade,2021-,France espoirs
1225,Matthis Abline,2018-2020,Stade rennais FC
1226,Matthis Abline,2020-,Stade rennais FC
1227,Matthis Abline,2022,Le Havre AC
1228,Matthis Abline,2023,AJ Auxerre
1229,Matthis Abline,2019,France -16 ans
1230,Matthis Abline,2019-2020,France -17 ans
1231,Matthis Abline,2020-2022,France -19 ans
1232,Matthis Abline,2022-,France -20 ans
1233,Matthis Abline,2022-,France espoirs
1234,Sehrou Guirassy,,USM Montargis
1235,Sehrou Guirassy,2009-2010,USM Montargis
1236,Sehrou Guirassy,2011-2014,Stade lavallois
1237,Sehrou Guirassy,2013-2015,Stade lavallois B
1238,Sehrou Guirassy,2013-2015,Stade lavallois
1239,Sehrou Guirassy,2015-2016,LOSC Lille
1240,Sehrou Guirassy,2016,AJ Auxerre
1241,Sehrou Guirassy,2016-2019,1. FC Cologne
1242,Sehrou Guirassy,2019,Amiens SC
1243,Sehrou Guirassy,2019-2020,Amiens SC
1244,Sehrou Guirassy,2020-2023,Stade rennais FC
1245,Sehrou Guirassy,2022-2023,VfB Stuttgart
1246,Sehrou Guirassy,2023-,VfB Stuttgart
1247,Sehrou Guirassy,2012,France -16 ans
1248,Sehrou Guirassy,2014-2015,France -19 ans
1249,Alan Do Marcolino,2009-2014,US Laval
1250,Alan Do Marcolino,2014-2017,Stade lavallois
1251,Alan Do Marcolino,2017-2022,Stade rennais FC
1252,Alan Do Marcolino,2022-,Stade rennais FC
1253,Alan Do Marcolino,2022-,Gabon
1254,Romain Salin,2002-2003,Stade rennais FC
1255,Romain Salin,2003-2004,Stade lavallois
1256,Romain Salin,2004-2008,FC Lorient
1257,Romain Salin,2006-2007,FC Libourne St-Seurin
1258,Romain Salin,2008-2010,Tours FC
1259,Romain Salin,2010-2011,Naval 1º de Maio
1260,Romain Salin,2011-2013,CS Marítimo
1261,Romain Salin,2013-2014,Rio Ave
1262,Romain Salin,2014-2016,CS Marítimo
1263,Romain Salin,2016-2017,EA Guingamp
1264,Romain Salin,2017-2019,Sporting CP
1265,Romain Salin,2019-2023,Stade rennais FC
1266,Nicolás Tagliafico,2010-2015,CA Banfield
1267,Nicolás Tagliafico,2012-2013,Real Murcie
1268,Nicolás Tagliafico,2015-2018,CA Independiente
1269,Nicolás Tagliafico,2018-2022,Ajax Amsterdam
1270,Nicolás Tagliafico,2022-,Olympique lyonnais
1271,Nicolás Tagliafico,2007,Argentine -15 ans
1272,Nicolás Tagliafico,2009,Argentine -17 ans
1273,Nicolás Tagliafico,2011,Argentine -20 ans
1274,Nicolás Tagliafico,2017-,Argentine
1275,Alexandre Lacazette,1997-1998,
1276,Alexandre Lacazette,1998-2003,
1277,Alexandre Lacazette,2003-2008,Olympique lyonnais
1278,Alexandre Lacazette,2008-2011,Olympique lyonnais B
1279,Alexandre Lacazette,2010-2017,Olympique lyonnais
1280,Alexandre Lacazette,2017-2022,Arsenal FC
1281,Alexandre Lacazette,2022-,Olympique lyonnais
1282,Alexandre Lacazette,2007-2008,France -17 ans
1283,Alexandre Lacazette,2008-2009,France -18 ans
1284,Alexandre Lacazette,2009-2010,France -19 ans
1285,Alexandre Lacazette,2010-2011,France -20 ans
1286,Alexandre Lacazette,2011-2012,France espoirs
1287,Alexandre Lacazette,2013-,France
1288,Castello Lukeba,2011-2021,Olympique lyonnais
1289,Castello Lukeba,2021-,Olympique lyonnais
1290,Castello Lukeba,2018-2019,France -17 ans
1291,Castello Lukeba,2021,France -20 ans
1292,Castello Lukeba,2022-,France espoirs
1293,Anthony Lopes,2000-2012,Olympique lyonnais
1294,Anthony Lopes,2012-,Olympique lyonnais
1295,Anthony Lopes,2006-2007,Portugal -17 ans
1296,Anthony Lopes,2008-2009,Portugal -19 ans
1297,Anthony Lopes,2010,Portugal -20 ans
1298,Anthony Lopes,2010-2012,Portugal espoirs
1299,Anthony Lopes,2015-,Portugal
1300,Maxence Caqueret,2011-2016,Olympique lyonnais
1301,Maxence Caqueret,2016-2020,Olympique lyonnais B
1302,Maxence Caqueret,2018-,Olympique lyonnais
1303,Maxence Caqueret,2015-2016,France -16 ans
1304,Maxence Caqueret,2016-2017,France -17 ans
1305,Maxence Caqueret,2017-2018,France -18 ans
1306,Maxence Caqueret,2018-2019,France -19 ans
1307,Maxence Caqueret,2019-2020,France -20 ans
1308,Maxence Caqueret,2020-,France espoirs
1309,Maxence Caqueret,2021-,France olympique
1310,Thiago Mendes,2004-2010,Goiás EC
1311,Thiago Mendes,2011-2014,Goiás EC
1312,Thiago Mendes,2015-2017,São Paulo FC
1313,Thiago Mendes,2017-2019,LOSC Lille
1314,Thiago Mendes,2019-2023,Olympique lyonnais
1315,Thiago Mendes,2023-,Al-Rayyan SC
1316,Johann Lepenant,2009-2017,US Granville
1317,Johann Lepenant,2017-2020,SM Caen
1318,Johann Lepenant,2020-2022,SM Caen
1319,Johann Lepenant,2022-,Olympique lyonnais
1320,Johann Lepenant,2018,France -16 ans
1321,Johann Lepenant,2018-2019,France -17 ans
1322,Johann Lepenant,2019-2020,France -18 ans
1323,Johann Lepenant,2021-,France -20 ans
1324,Johann Lepenant,2023-,France espoirs
1325,Corentin Tolisso,2007-2013,Olympique lyonnais
1326,Corentin Tolisso,2013-2017,Olympique lyonnais
1327,Corentin Tolisso,2017-2022,Bayern Munich
1328,Corentin Tolisso,2022-,Olympique lyonnais
1329,Corentin Tolisso,2012,France -19 ans
1330,Corentin Tolisso,2013-2014,France -20 ans
1331,Corentin Tolisso,2014-2016,France espoirs
1332,Corentin Tolisso,2017-,France
1333,Sinaly Diomande,-2019,
1334,Sinaly Diomande,2019-,Olympique lyonnais
1335,Sinaly Diomande,2020-,Côte d’Ivoire
1336,Malo Gusto,2015-2016,FC Bourgoin-Jallieu
1337,Malo Gusto,2016-2020,Olympique lyonnais
1338,Malo Gusto,2020-2023,Olympique lyonnais
1339,Malo Gusto,2023-,Chelsea FC
1340,Malo Gusto,2023,Olympique lyonnais
1341,Malo Gusto,2018,France -16 ans
1342,Malo Gusto,2019,France -17 ans
1343,Malo Gusto,2021,France -19 ans
1344,Malo Gusto,2021-,France espoirs
1345,Rayan Cherki,2009-2010,AS Saint-Priest
1346,Rayan Cherki,2010-2019,Olympique lyonnais
1347,Rayan Cherki,2019-2020,Olympique lyonnais B
1348,Rayan Cherki,2019-,Olympique lyonnais
1349,Rayan Cherki,2018,France -16 ans
1350,Rayan Cherki,2021,France -19 ans
1351,Rayan Cherki,2021-,France espoirs
1352,Dejan Lovren,2006-2008,Inter Zaprešić
1353,Dejan Lovren,2010-2013,Olympique lyonnais
1354,Dejan Lovren,2013-2014,Southampton FC
1355,Dejan Lovren,2014-2020,Liverpool FC
1356,Dejan Lovren,2020-2023,Zénith Saint-Pétersbourg
1357,Dejan Lovren,2023-,Olympique lyonnais
1358,Dejan Lovren,2004-2005,Croatie -17 ans
1359,Dejan Lovren,2006,Croatie -18 ans
1360,Dejan Lovren,2006-2008,Croatie -19 ans
1361,Dejan Lovren,2007-2009,Croatie -20 ans
1362,Dejan Lovren,2007-2010,Croatie espoirs
1363,Dejan Lovren,2009-2023,Croatie
1364,Karl Toko Ekambi,2000-2006,Paris FC
1365,Karl Toko Ekambi,2008,FC Gobelins
1366,Karl Toko Ekambi,2008-2010,Paris FC
1367,Karl Toko Ekambi,2010-2014,Paris FC
1368,Karl Toko Ekambi,2014-2016,FC Sochaux-Montbéliard
1369,Karl Toko Ekambi,2016-2018,Angers SCO
1370,Karl Toko Ekambi,2018-2020,Villarreal CF
1371,Karl Toko Ekambi,2020-,Olympique lyonnais
1372,Karl Toko Ekambi,2023,Stade rennais FC
1373,Karl Toko Ekambi,2015-,Cameroun
1374,Tetê,2008-2019,Grêmio
1375,Tetê,2019-,Chakhtar Donetsk
1376,Tetê,2022-2023,Olympique lyonnais
1377,Tetê,2023,Leicester City
1378,Tetê,2015,Brésil -15 ans
1379,Tetê,2019,Brésil -20 ans
1380,Tetê,2020-,Brésil -23 ans
1381,Bradley Barcola,2010-2021,Olympique lyonnais
1382,Bradley Barcola,2021-,Olympique lyonnais
1383,Bradley Barcola,2022-,France -20 ans
1384,Bradley Barcola,2023-,France espoirs
1385,Sael Kumbedi,-2015,
1386,Sael Kumbedi,2015-2018,Paris Saint-Germain
1387,Sael Kumbedi,2018-2019,
1388,Sael Kumbedi,2019-2021,Le Havre AC
1389,Sael Kumbedi,2021-2022,Le Havre AC
1390,Sael Kumbedi,2022-,Olympique lyonnais
1391,Sael Kumbedi,2021-2022,France -17 ans
1392,Sael Kumbedi,2022,France -18 ans
1393,Sael Kumbedi,2023-,France -19 ans
1394,Moussa Dembélé,2013-2016,Fulham FC
1395,Moussa Dembélé,2016-2018,Celtic FC
1396,Moussa Dembélé,2018-2023,Olympique lyonnais
1397,Moussa Dembélé,2021,Atlético Madrid
1398,Moussa Dembélé,2011-2013,France -16 ans
1399,Moussa Dembélé,2013,France -17 ans
1400,Moussa Dembélé,2013-2014,France -18 ans
1401,Moussa Dembélé,2014-2015,France -19 ans
1402,Moussa Dembélé,2015-2016,France -20 ans
1403,Moussa Dembélé,2016-2019,France espoirs
1404,Rémy Riou,1995-2005,Olympique lyonnais
1405,Rémy Riou,2005-2007,Olympique lyonnais
1406,Rémy Riou,2006-2007,FC Lorient
1407,Rémy Riou,2007-2011,AJ Auxerre
1408,Rémy Riou,2011-2012,Toulouse FC
1409,Rémy Riou,2012-2017,FC Nantes
1410,Rémy Riou,2017-2018,Alanyaspor
1411,Rémy Riou,2018-2019,Charleroi SC
1412,Rémy Riou,2019-2022,SM Caen
1413,Rémy Riou,2022-,Olympique lyonnais
1414,Rémy Riou,2002-2003,France -16 ans
1415,Rémy Riou,2003-2004,France -17 ans
1416,Rémy Riou,2004-2005,France -18 ans
1417,Rémy Riou,2005-2006,France -19 ans
1418,Rémy Riou,2006-2007,France -20 ans
1419,Rémy Riou,2008,France espoirs
1420,Houssem Aouar,2009-2015,Olympique lyonnais
1421,Houssem Aouar,2015-2016,Olympique lyonnais B
1422,Houssem Aouar,2016-2023,Olympique lyonnais
1423,Houssem Aouar,2023-,AS Rome
1424,Houssem Aouar,2014,France -17 ans
1425,Houssem Aouar,2017-2021,France espoirs
1426,Houssem Aouar,2020,France
1427,Houssem Aouar,2023-,Algérie
1428,Amin Sarr,2016,
1429,Amin Sarr,2017,Trelleborgs FF
1430,Amin Sarr,2018-2020,Malmö FF
1431,Amin Sarr,2020-2021,Malmö FF
1432,Amin Sarr,2021-,Mjällby AIF
1433,Amin Sarr,2022-2023,SC Heerenveen
1434,Amin Sarr,2023-,Olympique lyonnais
1435,Amin Sarr,2020-,Suède espoirs
1436,Jérôme Boateng,2006-2007,Hertha Berlin
1437,Jérôme Boateng,2007-2010,Hambourg SV
1438,Jérôme Boateng,2010-2011,Manchester City
1439,Jérôme Boateng,2011-2021,Bayern Munich
1440,Jérôme Boateng,2021-2023,Olympique lyonnais
1441,Jérôme Boateng,2007-2009,Allemagne espoirs
1442,Jérôme Boateng,2009-2018,Allemagne
1443,Henrique,2006-2013,Vasco da Gama
1444,Henrique,2013-2021,Vasco da Gama
1445,Henrique,2021-,Olympique lyonnais
1446,Henrique,2013,Brésil -20 ans
1447,Damien Da Silva,1993-2005,Girondins de Bordeaux
1448,Damien Da Silva,2005-2006,Chamois niortais
1449,Damien Da Silva,2006-2009,Chamois niortais
1450,Damien Da Silva,2009-2010,LB Châteauroux
1451,Damien Da Silva,2011-2013,FC Rouen
1452,Damien Da Silva,2013-2014,Clermont Foot
1453,Damien Da Silva,2014-2018,SM Caen
1454,Damien Da Silva,2018-2021,Stade rennais FC
1455,Damien Da Silva,2021-2023,Olympique lyonnais
1456,Damien Da Silva,2023-,Melbourne Victory
1457,Damien Da Silva,2005-2006,France -18 ans
1458,Damien Da Silva,2006-2007,France -19 ans
1459,Romain Faivre,2007-2014,RC de France
1460,Romain Faivre,2014-2017,Tours FC
1461,Romain Faivre,2017-2018,AS Monaco
1462,Romain Faivre,2018-2020,AS Monaco
1463,Romain Faivre,2020-2022,Stade brestois 29
1464,Romain Faivre,2022-2023,Olympique lyonnais
1465,Romain Faivre,2023,FC Lorient
1466,Romain Faivre,2023-,AFC Bournemouth
1467,Romain Faivre,2023-,FC Lorient
1468,Romain Faivre,2020-2021,France espoirs
1469,Lucas Paquetá,2007-2016,CR Flamengo
1470,Lucas Paquetá,2016-2019,CR Flamengo
1471,Lucas Paquetá,2019-2020,AC Milan
1472,Lucas Paquetá,2020-2022,Olympique lyonnais
1473,Lucas Paquetá,2022-,West Ham United
1474,Lucas Paquetá,2016-2017,Brésil -20 ans
1475,Lucas Paquetá,2018-,Brésil
1476,Jeff Reine-Adélaïde,2010-2015,RC Lens
1477,Jeff Reine-Adélaïde,2015-2016,Arsenal FC
1478,Jeff Reine-Adélaïde,2016-2018,Arsenal FC
1479,Jeff Reine-Adélaïde,2018,Angers SCO
1480,Jeff Reine-Adélaïde,2018-2019,Angers SCO
1481,Jeff Reine-Adélaïde,2019-,Olympique lyonnais
1482,Jeff Reine-Adélaïde,2020-2021,OGC Nice
1483,Jeff Reine-Adélaïde,2023,ES Troyes AC
1484,Jeff Reine-Adélaïde,2014,France -16 ans
1485,Jeff Reine-Adélaïde,2014-2015,France -17 ans
1486,Jeff Reine-Adélaïde,2015-2016,France -18 ans
1487,Jeff Reine-Adélaïde,2016-2018,France -19 ans
1488,Jeff Reine-Adélaïde,2018,France -20 ans
1489,Jeff Reine-Adélaïde,2018-2020,France espoirs
1490,Tino Kadewere,2015,Harare City FC
1491,Tino Kadewere,2015,Djurgårdens IF
1492,Tino Kadewere,2016-2018,Djurgårdens IF
1493,Tino Kadewere,2018-2020,Le Havre AC
1494,Tino Kadewere,2020-,Olympique lyonnais
1495,Tino Kadewere,2022-2023,RCD Majorque
1496,Tino Kadewere,2012,Zimbabwe -17 ans
1497,Tino Kadewere,,Zimbabwe -20 ans
1498,Tino Kadewere,,Zimbabwe -23 ans
1499,Tino Kadewere,2015-,Zimbabwe
1500,Mamadou Sarr,2021-2022,France -17 ans
1501,Kasper Schmeichel,2000-2001,Estoril-Praia
1502,Kasper Schmeichel,2002-2006,Manchester City
1503,Kasper Schmeichel,2006-2009,Manchester City
1504,Kasper Schmeichel,2006,Darlington FC
1505,Kasper Schmeichel,2006,Bury FC
1506,Kasper Schmeichel,2007,Falkirk FC
1507,Kasper Schmeichel,2007-2008,Cardiff City
1508,Kasper Schmeichel,2008,Coventry City
1509,Kasper Schmeichel,2009-2010,Notts County
1510,Kasper Schmeichel,2010-2011,Leeds United
1511,Kasper Schmeichel,2011-2022,Leicester City
1512,Kasper Schmeichel,2022-,OGC Nice
1513,Kasper Schmeichel,2004-2005,Danemark -19 ans
1514,Kasper Schmeichel,2006,Danemark -20 ans
1515,Kasper Schmeichel,2006-2008,Danemark espoirs
1516,Kasper Schmeichel,2013-,Danemark
1517,Jean-Clair Todibo,2016-2018,Toulouse FC
1518,Jean-Clair Todibo,2018-2019,Toulouse FC
1519,Jean-Clair Todibo,2019-2021,FC Barcelone
1520,Jean-Clair Todibo,2020,Schalke 04
1521,Jean-Clair Todibo,2020-2021,Benfica Lisbonne
1522,Jean-Clair Todibo,2021-,OGC Nice
1523,Jean-Clair Todibo,2018-2019,France -20 ans
1524,Jean-Clair Todibo,2023-,France
1525,Khéphren Thuram-Ulie,2013-2016,AC Boulogne-Billancourt
1526,Khéphren Thuram-Ulie,2014-2016,INF Clairefontaine
1527,Khéphren Thuram-Ulie,2016-2018,AS Monaco
1528,Khéphren Thuram-Ulie,2018-2019,AS Monaco
1529,Khéphren Thuram-Ulie,2019-,OGC Nice
1530,Khéphren Thuram-Ulie,2016-2017,France -16 ans
1531,Khéphren Thuram-Ulie,2017-2018,France -17 ans
1532,Khéphren Thuram-Ulie,2018-2019,France -18 ans
1533,Khéphren Thuram-Ulie,2019-2020,France -19 ans
1534,Khéphren Thuram-Ulie,2021-,France espoirs
1535,Khéphren Thuram-Ulie,2023-,France
1536,Melvin Bard,2009-2016,
1537,Melvin Bard,2016-2019,Olympique lyonnais
1538,Melvin Bard,2019-2021,Olympique lyonnais
1539,Melvin Bard,2021-,OGC Nice
1540,Melvin Bard,2017-2018,France -18 ans
1541,Melvin Bard,2019,France -19 ans
1542,Melvin Bard,2019,France -20 ans
1543,Melvin Bard,2019-,France espoirs
1544,Melvin Bard,2021,France olympique
1545,Gaëtan Laborde,2013-2018,Girondins de Bordeaux
1546,Gaëtan Laborde,2013-2014,Red Star FC
1547,Gaëtan Laborde,2014-2015,Stade brestois 29
1548,Gaëtan Laborde,2016,Clermont Foot 63
1549,Gaëtan Laborde,2018-2021,Montpellier HSC
1550,Gaëtan Laborde,2021-2022,Stade rennais FC
1551,Gaëtan Laborde,2022-,OGC Nice
1552,Gaëtan Laborde,2011,France -17 ans
1553,Gaëtan Laborde,2011,France -18 ans
1554,Gaëtan Laborde,2013,France -19 ans
1555,Gaëtan Laborde,2013-2014,France -20 ans
1556,Jordan Lotomba,2008-2013,Yverdon-Sport FC
1557,Jordan Lotomba,2013-2015,FC Lausanne-Sport
1558,Jordan Lotomba,2015-2017,FC Lausanne-Sport
1559,Jordan Lotomba,2017-2020,BSC Young Boys
1560,Jordan Lotomba,2020-,OGC Nice
1561,Jordan Lotomba,2014,Suisse -16 ans
1562,Jordan Lotomba,2015,Suisse -17 ans
1563,Jordan Lotomba,2016,Suisse -18 ans
1564,Jordan Lotomba,2016,Suisse -19 ans
1565,Jordan Lotomba,2017-2020,Suisse espoirs
1566,Jordan Lotomba,2020-,Suisse
1567,Aaron Ramsey,1999-2007,Cardiff City
1568,Aaron Ramsey,2007-2008,Cardiff City
1569,Aaron Ramsey,2008-2019,Arsenal FC
1570,Aaron Ramsey,2010,Nottingham Forest
1571,Aaron Ramsey,2011,Cardiff City
1572,Aaron Ramsey,2019-2022,Juventus FC
1573,Aaron Ramsey,2022,Rangers FC
1574,Aaron Ramsey,2022-,OGC Nice
1575,Aaron Ramsey,2005-2008,Pays de Galles -17 ans
1576,Aaron Ramsey,2007-2009,Pays de Galles espoirs
1577,Aaron Ramsey,2008-,Pays de Galles
1578,Aaron Ramsey,2012,Grande-Bretagne
1579,Hicham Boudaoui,2017-2019,Paradou AC
1580,Hicham Boudaoui,2019-,OGC Nice
1581,Hicham Boudaoui,2018,Algérie -20 ans
1582,Hicham Boudaoui,2018,Algérie olympique
1583,Hicham Boudaoui,2018-,Algérie
1584,Nicolas Pépé,2011-2013,Poitiers FC
1585,Nicolas Pépé,2012-2013,Poitiers FC
1586,Nicolas Pépé,2013-2015,Angers SCO
1587,Nicolas Pépé,2014-2017,Angers SCO
1588,Nicolas Pépé,2015-2016,US Orléans
1589,Nicolas Pépé,2017-2019,LOSC Lille
1590,Nicolas Pépé,2019-,Arsenal FC
1591,Nicolas Pépé,2022-2023,OGC Nice
1592,Nicolas Pépé,2016-,Côte d’Ivoire
1593,Pablo Rosario,2008,Feyenoord Rotterdam
1594,Pablo Rosario,2008-2010,DWS Amsterdam
1595,Pablo Rosario,2010-2014,Ajax Amsterdam
1596,Pablo Rosario,2014-2015,Almere City
1597,Pablo Rosario,2015-2016,Almere City
1598,Pablo Rosario,2016-2021,PSV Eindhoven
1599,Pablo Rosario,2021-,OGC Nice
1600,Pablo Rosario,2015-2016,Pays-Bas -19 ans
1601,Pablo Rosario,2015-2016,Pays-Bas -20 ans
1602,Pablo Rosario,2017-2018,Pays-Bas espoirs
1603,Pablo Rosario,2018-,Pays-Bas
1604,Sofiane Diop,2006-2014,Tours FC
1605,Sofiane Diop,2013-2015,Pôle espoirs Châteauroux
1606,Sofiane Diop,2015-2018,Stade rennais
1607,Sofiane Diop,2018-2022,AS Monaco
1608,Sofiane Diop,2019-2020,FC Sochaux-Montbéliard
1609,Sofiane Diop,2022-,OGC Nice
1610,Sofiane Diop,2018,France -18 ans
1611,Sofiane Diop,2018-2019,France -19 ans
1612,Sofiane Diop,2019,France -20 ans
1613,Sofiane Diop,2021-,France espoirs
1614,Terem Moffi,2017,FK Kauno Žalgiris
1615,Terem Moffi,2019,FK Riteriai
1616,Terem Moffi,2020,KV Courtrai
1617,Terem Moffi,2020-,FC Lorient
1618,Terem Moffi,2023-,OGC Nice
1619,Mario Lemina,2000-2004,
1620,Mario Lemina,2004-2006,
1621,Mario Lemina,2006-2009,
1622,Mario Lemina,2009-2013,FC Lorient
1623,Mario Lemina,2013,FC Lorient
1624,Mario Lemina,2013-2016,Olympique de Marseille
1625,Mario Lemina,2015-2016,Juventus FC
1626,Mario Lemina,2016-2017,Juventus FC
1627,Mario Lemina,2017-2021,Southampton FC
1628,Mario Lemina,2019-2020,Galatasaray SK
1629,Mario Lemina,2020-2021,Fulham FC
1630,Mario Lemina,2021-2023,OGC Nice
1631,Mario Lemina,2023-,Wolverampton Wanderers
1632,Mario Lemina,2013,France -20 ans
1633,Mario Lemina,2013,France espoirs
1634,Mario Lemina,2015-,Gabon
1635,Andy Delort,1997-1999,FC Sète 34
1636,Andy Delort,2000-2002,FC Sète 34
1637,Andy Delort,2003-2007,FC Sète
1638,Andy Delort,2007-2008,FC Sète B
1639,Andy Delort,2008-2009,AC Ajaccio
1640,Andy Delort,2009-2010,Nîmes Olympique
1641,Andy Delort,2010-2013,AC Ajaccio
1642,Andy Delort,2012,FC Metz
1643,Andy Delort,2013-2014,Tours FC
1644,Andy Delort,2014-2015,Wigan AFC
1645,Andy Delort,2015,Tours FC
1646,Andy Delort,2015-2016,SM Caen
1647,Andy Delort,2016-2017,Tigres UANL
1648,Andy Delort,2017-2018,Toulouse FC
1649,Andy Delort,2018-2021,Montpellier HSC
1650,Andy Delort,2021-2023,OGC Nice
1651,Andy Delort,2023,FC Nantes
1652,Andy Delort,2023-,Umm Salal SC
1653,Ross Barkley,2011-2018,Everton FC
1654,Ross Barkley,2012,Sheffield Wednesday
1655,Ross Barkley,2013,Leeds United
1656,Ross Barkley,2018-2022,Chelsea FC
1657,Ross Barkley,2020-2021,Aston Villa
1658,Ross Barkley,2022-2023,OGC Nice
1659,Ross Barkley,2009-2010,Angleterre -17 ans
1660,Ross Barkley,2010-2012,Angleterre -19 ans
1661,Ross Barkley,2013,Angleterre -20 ans
1662,Ross Barkley,2013,Angleterre espoirs
1663,Ross Barkley,2013-,Angleterre
1664,Youcef Atal,2008-2011,JS Kabylie
1665,Youcef Atal,2011-2012,USM Alger
1666,Youcef Atal,2012-2014,JS Kabylie
1667,Youcef Atal,2014-2015,Paradou AC
1668,Youcef Atal,2015-2018,Paradou AC
1669,Youcef Atal,2017-2018,KV Courtrai
1670,Youcef Atal,2018-,OGC Nice
1671,Youcef Atal,2017-,Algérie
1672,Badredine Bouanani,2011-2022,LOSC Lille
1673,Badredine Bouanani,2022-2023,OGC Nice
1674,Badredine Bouanani,2023-,OGC Nice
1675,Badredine Bouanani,2019-2020,France -16 ans
1676,Badredine Bouanani,2021-2022,France -18 ans
1677,Badredine Bouanani,2022,France -19 ans
1678,Badredine Bouanani,2023-,Algérie
1679,Mattia Viti,2010-2020,Empoli FC
1680,Mattia Viti,2020-2022,Empoli FC
1681,Mattia Viti,2022-,OGC Nice
1682,Mattia Viti,2017,Italie -15 ans
1683,Mattia Viti,2018,Italie -16 ans
1684,Mattia Viti,2020,Italie -18 ans
1685,Mattia Viti,2021,Italie -20 ans
1686,Youssouf Ndayishimiye,2016-2020,Aigle Noir FC
1687,Youssouf Ndayishimiye,2020-2021,Yeni Malatyaspor
1688,Youssouf Ndayishimiye,2021-2023,İstanbul Başakşehir
1689,Youssouf Ndayishimiye,2023-,OGC Nice
1690,Youssouf Ndayishimiye,2017-,Burundi
1691,Antoine Mendy,2022-,OGC Nice
1692,Alexis Beka Beka,2007-2008,
1693,Alexis Beka Beka,2008-2019,SM Caen
1694,Alexis Beka Beka,2019-2021,SM Caen
1695,Alexis Beka Beka,2021-2022,Lokomotiv Moscou
1696,Alexis Beka Beka,2022-,OGC Nice
1697,Alexis Beka Beka,2017,France -17 ans
1698,Alexis Beka Beka,2019,France -18 ans
1699,Alexis Beka Beka,2019,France -19 ans
1700,Alexis Beka Beka,2021-,France olympique
1701,Bilal Brahimi,2015-2016,ASSOA
1702,Bilal Brahimi,2016-2017,Leixões SC
1703,Bilal Brahimi,2017-2019,Middlesbrough FC
1704,Bilal Brahimi,2019,Stade de Reims
1705,Bilal Brahimi,2018,Middlesbrough FC
1706,Bilal Brahimi,2019-2021,Stade de Reims
1707,Bilal Brahimi,2020-2021,Le Mans FC
1708,Bilal Brahimi,2021-2022,Angers SCO
1709,Bilal Brahimi,2022-,OGC Nice
1710,Bilal Brahimi,2018,France -19 ans
1711,Bilal Brahimi,2022-,Algérie
1712,Ayoub Amraoui,2019-2022,OGC Nice
1713,Ayoub Amraoui,2021-2023,OGC Nice B
1714,Ayoub Amraoui,2022-,OGC Nice
1715,Ayoub Amraoui,2020-2021,Maroc -17 ans
