 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Alidu Seidu,gh GHA,DF,22-343,24,24,2098,23.3,0,0,0,0,0,0,9,1,0.1,0.1,0.5,0.6,24,57,35,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Matches,cea59f02
Yohann Magnin,fr FRA,MF,25-326,34,23,2219,24.7,0,0,0,0,0,0,6,0,1.0,1.0,2.3,3.2,13,115,56,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches,caa7aaea
Elba Rashani,xk KVX,MFFW,30-004,28,23,1879,20.9,3,2,5,3,0,0,2,0,4.2,4.2,2.3,6.5,47,45,144,0.14,0.10,0.24,0.14,0.24,0.20,0.11,0.31,0.20,0.31,Matches,25749008
Grejohn Kyei,fr FRA,FW,27-274,33,22,1915,21.3,7,3,10,4,3,4,3,0,9.1,5.9,1.3,7.3,24,32,142,0.33,0.14,0.47,0.19,0.33,0.43,0.06,0.49,0.28,0.34,Matches,397ba086
Maximiliano Caufriez,be BEL,DF,26-086,22,21,1862,20.7,0,0,0,0,0,0,9,1,0.4,0.4,0.0,0.4,25,78,9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,c92c24f0
Saîf-Eddine Khaoui,tn TUN,MF,28-016,30,21,1844,20.5,6,3,9,6,0,0,4,0,4.2,4.2,3.6,7.8,21,67,77,0.29,0.15,0.44,0.29,0.44,0.20,0.18,0.38,0.20,0.38,Matches,796b1c41
Muhammed Saracevic Cham,at AUT,MF,22-229,34,21,1791,19.9,7,3,10,5,2,2,2,0,5.5,4.0,2.4,6.4,63,88,108,0.35,0.15,0.50,0.25,0.40,0.28,0.12,0.40,0.20,0.32,Matches,f527a32c
Florent Ogier,fr FRA,DF,34-053,24,17,1609,17.9,0,1,1,0,0,0,3,0,0.2,0.2,1.3,1.5,4,57,3,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.09,0.01,0.09,Matches,6993927b
Maxime Gonalons,fr FRA,MF,34-064,21,17,1269,14.1,1,0,1,1,0,0,3,0,0.5,0.5,0.4,0.9,9,86,3,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,Matches,b8c1de25
Komnen Andri?,rs SRB,FW,27-316,30,16,1403,15.6,4,3,7,3,1,2,3,0,5.4,3.8,0.9,4.7,8,26,86,0.26,0.19,0.45,0.19,0.38,0.35,0.06,0.40,0.25,0.30,Matches,af3ddb2e
Jérémie Bela,ao ANG,DFMF,30-035,18,7,735,8.2,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,22,24,53,0.12,0.12,0.24,0.12,0.24,0.07,0.03,0.10,0.07,0.10,Matches,5680bf3f
Cheick Konaté,ci CIV,DF,19-071,9,6,572,6.4,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,12,21,9,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches,1361e5bc
Aïman Maurer,ma MAR,MFFW,18-230,9,5,432,4.8,0,0,0,0,0,0,0,0,1.1,1.1,0.9,2.0,20,9,36,0.00,0.00,0.00,0.00,0.00,0.23,0.19,0.42,0.23,0.42,Matches,87d31635
Mehdi Zeffane,dz ALG,DFMF,30-359,14,4,439,4.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.8,6,15,19,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches,c8c02ac7
Jodel Dossou,bj BEN,MFDF,31-057,9,2,258,2.9,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,8,6,23,0.35,0.00,0.35,0.35,0.35,0.15,0.05,0.21,0.15,0.21,Matches,a1dbfcb1
Arial Mendy,sn SEN,DF,28-187,5,1,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,7,22,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,9f0f4b49
Baila Diallo,fr FRA,DFMF,21-323,6,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,fb55f63a
Yanis Massolin,fr FRA,MF,20-235,6,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,6ea05ca7
